"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name","GSF2960.NOF1.POA","GSF2960.NOF10.POA","GSF2960.NOF11.POA","GSF2960.NOF12.POA","GSF2960.NOF2.POA","GSF2960.NOF3.POA","GSF2960.NOF4.POA","GSF2960.NOF5.POA","GSF2960.NOF6.POA","GSF2960.NOF7.POA","GSF2960.NOF8.POA","GSF2960.NOF9.POA","GSF2960.NOM1.POA","GSF2960.NOM10.POA","GSF2960.NOM11.POA","GSF2960.NOM12.POA","GSF2960.NOM2.POA","GSF2960.NOM3.POA","GSF2960.NOM4.POA","GSF2960.NOM5.POA","GSF2960.NOM6.POA","GSF2960.NOM7.POA","GSF2960.NOM8.POA","GSF2960.NOM9.POA","GSF2960.NOF1.TnA","GSF2960.NOF10.TnA","GSF2960.NOF11.TnA","GSF2960.NOF12.TnA","GSF2960.NOF2.TnA","GSF2960.NOF3.TnA","GSF2960.NOF4.TnA","GSF2960.NOF5.TnA","GSF2960.NOF6.TnA","GSF2960.NOF7.TnA","GSF2960.NOF8.TnA","GSF2960.NOF9.TnA","GSF2960.NOM1.TnA","GSF2960.NOM10.TnA","GSF2960.NOM11.TnA","GSF2960.NOM12.TnA","GSF2960.NOM2.TnA","GSF2960.NOM3.TnA","GSF2960.NOM4.TnA","GSF2960.NOM5.TnA","GSF2960.NOM6.TnA","GSF2960.NOM7.TnA","GSF2960.NOM8.TnA","GSF2960.NOM9.TnA"
"1","ENSGALG00010005556",14.8297222705477,2.65130245437495,0.48276629148909,5.49189639193123,3.9764065700741e-08,0.000159917817559813,"IYD","     3","    3","     3","    10","     6","     3","     4","     3","     4","     3","     3","    13","    31","    33","    84","   26","     8","    54","     0","     8","    7","    31","    6","     8","    4","    5","    3","     6","    8","    8","    8","    8","     5","    5","     4","    2","    6","    7","   11","     6","    9","    9","    6","    6","    10","    4","     5","    3"
"2","ENSGALG00010005724",381.041493267752,0.469073905258416,0.0915018847548972,5.12638517244652,2.95358054285866e-07,0.000509070703565568,"PROSER2","   631","  425","   729","   859","   537","   427","   576","   535","   671","   646","   533","   568","   772","   694","   678","  608","   491","   817","   328","   545","  560","   559","  455","   557","  176","  134","  227","   210","  172","  200","  141","  166","   252","  169","   186","  136","  162","  175","  184","   252","  210","  192","  182","  237","   266","  171","   203","  240"
"3","ENSGALG00010007986",106.084141756747,-0.909357200092128,0.1577780002287,-5.7635234238868,8.23758142075048e-09,9.93864198413545e-05,"MYC","   235","  215","   183","   193","   164","   113","   138","   107","   172","   200","   250","   176","    98","   103","   117","  101","   248","   104","   176","   259","  149","    97","  177","   142","   66","   74","  129","    87","   57","   59","   63","   78","   102","   93","   113","   50","   55","   70","   57","    54","  113","   71","   44","   84","    74","   59","    76","   91"
"4","ENSGALG00010008429",157.266357004331,0.776412125582718,0.156585835879777,4.95838031084004,7.1083309560999e-07,0.00107202516231682,"IGFBP3","   157","  140","   180","   173","   164","   105","   138","   145","   169","   188","   169","   218","   315","   233","   329","  278","   169","   261","    81","   140","  171","   157","  143","   184","  106","   98","  161","   144","  103","  106","  108","  114","   136","  115","   123","   78","  106","  106","  113","   132","  151","  129","   86","  119","   125","  101","   123","  134"
"5","ENSGALG00010010094",209.93148568907,0.92196656581983,0.165584973447219,5.56793618784321,2.57774184344235e-08,0.00015550227670566,"SLC2A9","   267","  249","   382","   396","   300","   249","   288","   262","   367","   286","   326","   322","   503","   598","   540","  420","   275","   594","   119","   304","  309","   403","  256","   310","   37","   72","   89","    52","   57","   63","   35","   63","    73","   79","    79","   47","   41","   60","   48","    78","   59","   58","   65","   55","    57","   67","    67","   72"
"6","ENSGALG00010010449",23.1702433767687,2.35278511555844,0.456439719459508,5.15464587162679,2.5411068589373e-07,0.000509070703565568,"PAPPA2","    23","   30","    43","    18","    36","    15","    87","    70","    22","    27","    23","    26","    55","    36","   170","   20","     9","    97","     8","    16","   22","    49","   10","    17","   10","    3","    2","    12","    1","    2","    7","   11","     9","   12","    11","    5","    3","    8","    6","     7","   10","    5","    3","    9","    18","    9","    15","    6"
"7","ENSGALG00010012236",13.2559908612083,-2.36676096153386,0.436387699270838,-5.4235281275996,5.84340151858845e-08,0.000176251598304424,"PRLH","    44","   61","    20","    14","    24","     7","    12","     1","    25","    10","    68","     9","    11","     5","    14","   11","    61","     3","    28","    68","   20","    10","   76","    32","    0","    0","    0","     0","    0","    0","    0","    0","     2","    0","     2","    0","    0","    0","    0","     0","    0","    0","    0","    0","     0","    0","     0","    0"
"8","ENSGALG00010012511",3659.25260401071,-0.200881166904828,0.0489782546262062,-4.10143579917086,4.10594432677402e-05,0.0381063217711758,"OXCT1","  3731"," 2975","  3430","  3076","  3579","  2716","  2748","  3086","  3225","  3608","  3532","  3509","  3607","  3284","  4008"," 3092","  4417","  3726","  3033","  4597"," 4440","  3198"," 3634","  4693"," 2600"," 3411"," 3770","  3575"," 3528"," 3623"," 3228"," 3263","  3463"," 3389","  3583"," 2406"," 2883"," 2930"," 3096","  4200"," 4309"," 3422"," 3077"," 4039","  3758"," 3329","  4003"," 4044"
"9","ENSGALG00010013635",1016.02310520431,-0.807892476065193,0.170191621125827,-4.74695799194426,2.06498818454432e-06,0.00276823138294747,"BCL6","  2056"," 1760","  1856","  2090","  1621","  1319","  1769","  1824","  1515","  2233","  1928","  1958","  1191","   938","   899","  895","  2095","   911","  1596","  1986"," 1920","   726"," 1209","  2210","  629","  915"," 1017","   818","  783","  725","  652","  672","  1385","  945","   859","  805","  546","  602","  549","   713","  735","  581","  568"," 1102","  1070","  540","   771","  869"
"10","ENSGALG00010015621",1102.73000071628,-1.02580160860164,0.223130948133482,-4.59730762219493,4.2798548947962e-06,0.00469422266415601,"IDNK","  1562"," 2022","  1353","   551","   891","   374","  1295","   307","   416","  1369","  2242","   957","  1568","  1603","  1914"," 1774","  4054","   909","  1641","  3845"," 1375","  2160"," 3526","  3591","   22","   24","   19","    13","   14","   11","   15","   11","    36","   18","    16","    6","   14","   26","   51","    45","   29","   29","   25","   43","    36","   24","    31","   50"
"11","ENSGALG00010016850",118.224268244582,1.22704591040004,0.228236695124837,5.37619908020879,7.60746748730708e-08,0.00018356819046872,"GPR83L","    59","   78","    98","    90","    97","   105","    66","    68","   118","   106","    60","    86","   142","   206","   299","  148","    56","   227","    50","    83","   93","   174","   95","    99","  118","  120","  115","   117","  109","  126","  100","   75","   164","  122","   175","   89","   72","   69","  111","   127","  138","  112","   56","  125","   144","   95","    85","  103"
"12","ENSGALG00010023832",473.889265532189,0.704892142838623,0.149961368370829,4.70049153656389,2.59536013186647e-06,0.00313130199909689,"","   478","  389","   623","   499","   494","   436","   631","   516","   600","   765","   412","   554","   645","   589","   761","  485","   397","   607","   171","   427","  349","   464","  298","   409","  419","  371","  517","   729","  468","  659","  566","  561","   467","  473","   583","  360","  471","  343","  383","   622","  581","  425","  408","  596","   560","  464","   518","  534"
"13","ENSGALG00010029165",1011.60903642313,-0.33975353729809,0.0785196966765948,-4.32698484174562,1.51164360093536e-05,0.0151983167044042,"RAC3","  1086"," 1040","  1102","  1033","  1091","   799","   833","  1029","  1142","  1208","  1129","  1218","   910","   922","  1145","  758","  1152","   921","   794","  1531"," 1065","   818","  939","  1408","  851"," 1045"," 1226","  1236","  956"," 1100"," 1075"," 1030","  1298"," 1177","  1094","  788","  734","  905","  890","  1075"," 1151","  930","  937"," 1225","  1115","  997","  1009"," 1217"
